54_south_shore_s,60_university_s,60_university_n,54_south_shore_n
420.00,432.00,432.00,445.00
450.00,462.00,462.00,475.00
480.00,492.00,492.00,505.00
510.00,522.00,522.00,535.00
540.00,552.00,552.00,565.00
570.00,582.00,582.00,595.00
600.00,612.00,612.00,625.00
630.00,642.00,642.00,655.00
660.00,672.00,672.00,685.00
690.00,702.00,702.00,715.00
720.00,732.00,732.00,745.00
750.00,762.00,762.00,775.00
780.00,792.00,792.00,805.00
810.00,822.00,822.00,835.00
840.00,852.00,852.00,865.00
870.00,882.00,882.00,895.00
900.00,912.00,912.00,925.00
930.00,942.00,942.00,955.00
960.00,972.00,972.00,985.00
987.00,1000.00,970.00,982.00
1017.00,1030.00,1000.00,1012.00
1047.00,1060.00,1030.00,1042.00
1077.00,1090.00,1060.00,1072.00
1107.00,1120.00,1090.00,1102.00
,,1120.00,1132.00
