stpid,stpnm,lat,lon
10561,55th Street & Dorchester,41.79472829,-87.59183228
17563,55th Street & Kenwood,41.79504424,-87.59296954
10563,55th Street & Lake Park,41.79510423,-87.58777678
15752,55th Street & Woodlawn,41.79504024,-87.59610772
13197,59th Street & Kimbark,41.787837,-87.59446621
17902,60th Street & Kenwood,41.78604833,-87.593325
14020,60th Street & University,41.78590506,-87.59778678
15433,60th Street & Woodlawn,41.78594506,-87.59649932
17423,Dorchester & 60th Street,41.78632905,-87.59143531
1521,S Hyde Park & 53rd Street,41.79945538,-87.58400023
1520,S Hyde Park & 54th Street,41.79833962,-87.58398414
1518,S Hyde Park & 55th Street,41.79545217,-87.58390367
15919,Shoreland Dorm,41.79640801,-87.58093715
15816,University & 55th Street,41.79501624,-87.59786725
16036,University & 57th Street,41.79131673,-87.59802818
17057,1111 East 60th Street ,41.78590106,-87.59903669
10569,55th Street & Dorchester,41.79554416,-87.59156406
10566,55th Street & Hyde Park Blvd,41.79524021,-87.58418262
10570,55th Street & Kenwood,41.79516822,-87.59358644
10567,55th Street & Lake Park,41.7952602,-87.588045
10572,55th Street & Woodlawn,41.79509623,-87.59635448
18012,5800 S Ellis,41.789354,-87.60128396
14019,60th Street & Ellis,41.78588506,-87.60104835
14020,60th Street & University,41.78590506,-87.59778678
14033,Ellis & 55th Street,41.79470829,-87.60141313
14034,Ellis & 57th Street,41.79129674,-87.60134339
17846,Ellis & 59th Street,41.78736102,-87.60127366
15919,Shoreland Dorm,41.79640801,-87.58093715
