,,,,,
hyde_park_east_end_s,53_woodlawn_s,60_university_s,60_university_n,"53_woodlawn_n
Woodlawn","hyde_park_east_end_n
"
7:00,7:05,7:15,7:18,7:26,7:35
7:20,7:25,7:35,7:38,7:46,7:55
7:40,7:45,7:55,7:58,8:06,8:15
8:00,8:05,8:15,8:18,8:26,8:35
8:20,8:25,8:35,8:38,8:46,8:55
8:40,8:45,8:55,8:58,9:06,9:15
9:00,9:05,9:15,9:18,9:26,9:35
9:20,9:25,9:35,9:38,9:46,9:55
9:40,9:45,9:55,9:58,10:06,10:15
10:00,10:05,10:15,10:18,10:26,10:35
10:20,10:25,10:35,10:38,10:46,10:55
10:40,10:45,10:55,10:58,11:06,11:15
11:00,11:05,11:15,11:18,11:26,11:35
11:20,11:25,11:35,11:38,11:46,11:55
11:40,11:45,11:55,11:58,12:06,12:15
12:00,12:05,12:15,12:18,12:26,12:35
12:20,12:25,12:35,12:38,12:46,12:55
12:40,12:45,12:55,12:58,13:06,13:15
13:00,13:05,13:15,13:18,13:26,13:35
13:20,13:25,13:35,13:38,13:46,13:55
13:40,13:45,13:55,13:58,14:06,14:15
14:00,14:05,14:15,14:18,14:26,14:35
14:20,14:25,14:35,14:38,14:46,14:55
14:40,14:45,14:55,14:58,15:06,15:15
15:00,15:05,15:15,15:18,15:26,15:35
15:20,15:25,15:35,15:38,15:46,15:55
3:45,3:50,4:00,4:05,4:12,4:20
4:05,4:10,4:20,4:25,4:32,4:40
4:25,4:30,4:40,4:45,4:52,5:00
4:45,4:50,5:00,5:05,5:12,5:20
5:05,5:10,5:20,5:25,5:32,5:40
5:25,5:30,5:40,5:45,5:52,6:00
5:45,5:50,6:00,6:05,6:12,6:20
6:05,6:10,6:20,6:25,6:32,6:40
