stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
,,,,
,,,,
stpid,stpnm,lat,lon,type
,,,,
,,,,
stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
stpid,stpnm,lat,lon,type
14020,60th Street & University,41.785905064315,-87.597786784172,S
,,41.785929063857,-87.596783638,W
15433,60th Street & Woodlawn,41.785945063546,-87.596499323845,S
,,41.786001062428,-87.595936059952,W
17902,60th Street & Kenwood,41.786048333332,-87.593325000001,S
,,41.786045061515,-87.591429948807,W
17423,Dorchester & 60th Street,41.786329054897,-87.591435313225,S
,,41.787832998874,-87.591542601586,W
13197,59th Street & Kimbark,41.787836998678,-87.594466209412,S
,,41.787805000239,-87.596333026886,W
14041,Woodlawn & 58th Street,41.789464898171,-87.596359848976,S
14040,Woodlawn & 57th Street,41.791648698414,-87.596408128738,S
14043,Woodlawn & 55th Street,41.794920259924,-87.596504688263,S
,,41.7965519788,-87.596526145935,W
14039,Woodlawn & 53rd Street,41.799559351802,-87.596595883369,S
,,41.800927019966,-87.596638798714,W
15818,Woodlawn & Hyde Park Blvd,41.802166693957,-87.596660256386,S
,,41.802314653444,-87.596660256386,W
1644,E Hyde Park & Kenwood,41.802354642436,-87.593243122101,S
,,41.80237863582,-87.591864466667,W
1646,E Hyde Park & Blackstone,41.802390632508,-87.590185403824,S
,,41.802434620345,-87.586435675621,W
,,41.804370055305,-87.586500048637,W
,,41.804386050392,-87.583753466606,W
,,41.802610571394,-87.583646178246,W
1523,E Hyde Park & East End,41.802526594818,-87.585738301277,S
,,41.80250260149,-87.587229609489,W
1525,E Hyde Park & Lake Park,41.802490604822,-87.588297128677,S
15671,East Hyde Park & Blackstone,41.802454614807,-87.590308785439,S
1528,E Hyde Park & Kenwood,41.802410626983,-87.593586444855,S
,,41.802394631403,-87.595109939575,W
,,41.80237863582,-87.59675681591,W
15817,Woodlawn & Hyde Park Blvd,41.802142700495,-87.596746087074,S
14036,Woodlawn & 53rd Street,41.79961933786,-87.596687078476,S
,,41.799471372149,-87.596681714058,W
,,41.799439379518,-87.599701881409,W
,,41.799407386871,-87.601354122162,W
14886,Ellis & 53rd Street,41.799287414303,-87.601348757744,S
,,41.797963702053,-87.6013058424,W
,,41.79643999942,-87.601279020309,W
,,41.795308196852,-87.601273655891,W
,,41.795024243248,-87.60135948658,W
,,41.794856270102,-87.601397037506,W
14033,Ellis & 55th Street,41.794708293394,-87.60141313076,S
,,41.793220508587,-87.601380944252,W
,,41.791412723585,-87.601343393326,W
14034,Ellis & 57th Street,41.791296735638,-87.601343393326,S
18012,5800 S Ellis,41.789354001165,-87.601283955029,S
17846,Ellis & 59th Street,41.787361020254,-87.601273655891,S
,,41.785877064838,-87.601225376129,W
14019,60th Street & Ellis,41.78588506469,-87.601048350334,S
17057,1111 East 60th Street ,41.785901064391,-87.599036693573,S
14020,60th Street & University,41.785905064315,-87.597786784172,S
stpid,stpnm,lat,lon,type
14020,60th Street & University,41.785905064315,-87.597786784172,S
,,41.785929063857,-87.596783638,W
15433,60th Street & Woodlawn,41.785945063546,-87.596499323845,S
,,41.786001062428,-87.595936059952,W
17902,60th Street & Kenwood,41.786048333332,-87.593325000001,S
,,41.786045061515,-87.591429948807,W
17423,Dorchester & 60th Street,41.786329054897,-87.591435313225,S
,,41.787832998874,-87.591542601586,W
13197,59th Street & Kimbark,41.787836998678,-87.594466209412,S
,,41.787805000239,-87.596333026886,W
14041,Woodlawn & 58th Street,41.789464898171,-87.596359848976,S
14040,Woodlawn & 57th Street,41.791648698414,-87.596408128738,S
14043,Woodlawn & 55th Street,41.794920259924,-87.596504688263,S
,,41.7965519788,-87.596526145935,W
14039,Woodlawn & 53rd Street,41.799559351802,-87.596595883369,S
,,41.800927019966,-87.596638798714,W
15818,Woodlawn & Hyde Park Blvd,41.802166693957,-87.596660256386,S
,,41.802314653444,-87.596660256386,W
1644,E Hyde Park & Kenwood,41.802354642436,-87.593243122101,S
,,41.80237863582,-87.591864466667,W
1646,E Hyde Park & Blackstone,41.802390632508,-87.590185403824,S
,,41.802434620345,-87.586435675621,W
,,41.804370055305,-87.586500048637,W
,,41.804386050392,-87.583753466606,W
,,41.802610571394,-87.583646178246,W
1523,E Hyde Park & East End,41.802526594818,-87.585738301277,S
,,41.80250260149,-87.587229609489,W
1525,E Hyde Park & Lake Park,41.802490604822,-87.588297128677,S
15671,East Hyde Park & Blackstone,41.802454614807,-87.590308785439,S
1528,E Hyde Park & Kenwood,41.802410626983,-87.593586444855,S
,,41.802394631403,-87.595109939575,W
,,41.80237863582,-87.59675681591,W
15817,Woodlawn & Hyde Park Blvd,41.802142700495,-87.596746087074,S
14036,Woodlawn & 53rd Street,41.79961933786,-87.596687078476,S
,,41.799471372149,-87.596681714058,W
,,41.799439379518,-87.599701881409,W
,,41.799407386871,-87.601354122162,W
14886,Ellis & 53rd Street,41.799287414303,-87.601348757744,S
,,41.797963702053,-87.6013058424,W
,,41.79643999942,-87.601279020309,W
,,41.795308196852,-87.601273655891,W
,,41.795024243248,-87.60135948658,W
,,41.794856270102,-87.601397037506,W
14033,Ellis & 55th Street,41.794708293394,-87.60141313076,S
,,41.793220508587,-87.601380944252,W
,,41.791412723585,-87.601343393326,W
14034,Ellis & 57th Street,41.791296735638,-87.601343393326,S
18012,5800 S Ellis,41.789354001165,-87.601283955029,S
17846,Ellis & 59th Street,41.787361020254,-87.601273655891,S
,,41.785877064838,-87.601225376129,W
14019,60th Street & Ellis,41.78588506469,-87.601048350334,S
17057,1111 East 60th Street ,41.785901064391,-87.599036693573,S
14020,60th Street & University,41.785905064315,-87.597786784172,S
